SEQUENTIAL
1001000070200;[authentication username=1001000070200 password=6666]
1001000070100;[authentication username=1001000070100 password=6666]
1001000070000;[authentication username=1001000070000 password=6666]
1001000069900;[authentication username=1001000069900 password=6666]
1001000069700;[authentication username=1001000069700 password=6666]
1001000069800;[authentication username=1001000069800 password=6666]
1001000069600;[authentication username=1001000069600 password=6666]
1001000069500;[authentication username=1001000069500 password=6666]
1001000069400;[authentication username=1001000069400 password=6666]
1001000069300;[authentication username=1001000069300 password=6666]
1001000069100;[authentication username=1001000069100 password=6666]
1001000069200;[authentication username=1001000069200 password=6666]
1001000068800;[authentication username=1001000068800 password=6666]
1001000069000;[authentication username=1001000069000 password=6666]
1001000068900;[authentication username=1001000068900 password=6666]
1001000068600;[authentication username=1001000068600 password=6666]
1001000068700;[authentication username=1001000068700 password=6666]
1001000068500;[authentication username=1001000068500 password=6666]
1001000068400;[authentication username=1001000068400 password=6666]
1001000068300;[authentication username=1001000068300 password=6666]
1001000068200;[authentication username=1001000068200 password=6666]
1001000068000;[authentication username=1001000068000 password=6666]
1001000067900;[authentication username=1001000067900 password=6666]
1001000068100;[authentication username=1001000068100 password=6666]
1001000067800;[authentication username=1001000067800 password=6666]
1001000067500;[authentication username=1001000067500 password=6666]
1001000067700;[authentication username=1001000067700 password=6666]
1001000067600;[authentication username=1001000067600 password=6666]
1001000067400;[authentication username=1001000067400 password=6666]
1001000067300;[authentication username=1001000067300 password=6666]
1001000067200;[authentication username=1001000067200 password=6666]
1001000067000;[authentication username=1001000067000 password=6666]
1001000066900;[authentication username=1001000066900 password=6666]
1001000067100;[authentication username=1001000067100 password=6666]
1001000066800;[authentication username=1001000066800 password=6666]
1001000066700;[authentication username=1001000066700 password=6666]
1001000066500;[authentication username=1001000066500 password=6666]
1001000066600;[authentication username=1001000066600 password=6666]
1001000066400;[authentication username=1001000066400 password=6666]
1001000066300;[authentication username=1001000066300 password=6666]
1001000066000;[authentication username=1001000066000 password=6666]
1001000065900;[authentication username=1001000065900 password=6666]
1001000066200;[authentication username=1001000066200 password=6666]
1001000066100;[authentication username=1001000066100 password=6666]
1001000065800;[authentication username=1001000065800 password=6666]
1001000065700;[authentication username=1001000065700 password=6666]
1001000065500;[authentication username=1001000065500 password=6666]
1001000065400;[authentication username=1001000065400 password=6666]
1001000065600;[authentication username=1001000065600 password=6666]
1001000065300;[authentication username=1001000065300 password=6666]
1001000065200;[authentication username=1001000065200 password=6666]
1001000065100;[authentication username=1001000065100 password=6666]
1001000065000;[authentication username=1001000065000 password=6666]
1001000064900;[authentication username=1001000064900 password=6666]
1001000064800;[authentication username=1001000064800 password=6666]
1001000064600;[authentication username=1001000064600 password=6666]
1001000064700;[authentication username=1001000064700 password=6666]
1001000063800;[authentication username=1001000063800 password=6666]
1001000064100;[authentication username=1001000064100 password=6666]
1001000063700;[authentication username=1001000063700 password=6666]
1001000064000;[authentication username=1001000064000 password=6666]
1001000063200;[authentication username=1001000063200 password=6666]
1001000063400;[authentication username=1001000063400 password=6666]
1001000062900;[authentication username=1001000062900 password=6666]
1001000062400;[authentication username=1001000062400 password=6666]
1001000062700;[authentication username=1001000062700 password=6666]
1001000062800;[authentication username=1001000062800 password=6666]
1001000063500;[authentication username=1001000063500 password=6666]
1001000064500;[authentication username=1001000064500 password=6666]
1001000063300;[authentication username=1001000063300 password=6666]
1001000063900;[authentication username=1001000063900 password=6666]
1001000063100;[authentication username=1001000063100 password=6666]
1001000064400;[authentication username=1001000064400 password=6666]
1001000062500;[authentication username=1001000062500 password=6666]
1001000063600;[authentication username=1001000063600 password=6666]
1001000063000;[authentication username=1001000063000 password=6666]
1001000064200;[authentication username=1001000064200 password=6666]
1001000064300;[authentication username=1001000064300 password=6666]
1001000062600;[authentication username=1001000062600 password=6666]
